codename: "egypt" | level_count: 15
codename: "pirate" | level_count: 25
codename: "cowboy" | level_count: 25
codename: "kongfu" | level_count: 25
codename: "future" | level_count: 25
codename: "dark" | level_count: 25
codename: "iceage" | level_count: 25
codename: "beach" | level_count: 25
codename: "skycity" | level_count: 25
codename: "lostcity" | level_count: 25
codename: "eighties" | level_count: 25
codename: "dino" | level_count: 25
codename: "modern" | level_count: 27
codename: "steam" | level_count: 25
codename: "renai" | level_count: 25
codename: "heian" | level_count: 24
codename: "atlantis" | level_count: 24
